Applications running under the ‘Generic’ module
Application	Windows	Linux	Notes
Path Of Titans	:white_check_mark:	:white_check_mark:	
Pavlov VR	:x:	:white_check_mark:	
PixARK	:white_check_mark:	:white_check_mark:	Linux support via Proton.
Portal Knights	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Post Scriptum	:white_check_mark:	:white_check_mark:	
Pre-Fortress 2	:white_check_mark:	:white_check_mark:	
Project 5: Sightseer	:white_check_mark:	:white_check_mark:	
Project Zomboid	:white_check_mark:	:white_check_mark:	
Puck	:white_check_mark:	:white_check_mark:	Windows support only via Docker.
Python App Runner	:white_check_mark:	:white_check_mark:	
Quake III Arena	:white_check_mark:	:white_check_mark:	
RAGE:MP - Grand Theft Auto V Server	:white_check_mark:	:white_check_mark:	
Reign Of Kings	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Rimworld Together - RimWorld Server	:white_check_mark:	:white_check_mark:	
Rising Storm 2: Vietnam	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Rising World (Unity Version)	:white_check_mark:	:white_check_mark:	
Risk Of Rain 2	:white_check_mark:	:white_check_mark:	Linux support via Wine.
San Andreas Multiplayer	:white_check_mark:	:white_check_mark:	
Sapiens	:white_check_mark:	:white_check_mark:	
Satisfactory	:white_check_mark:	:white_check_mark:	
SCP: Secret Laboratory	:white_check_mark:	:white_check_mark:	
Seven Days To Die	:white_check_mark:	:white_check_mark:	Includes Darkness Falls and Undead Legacy options.
SinusBot	:x:	:white_check_mark:	
Skyrim Together Reborn	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Smalland: Survive the Wilds	:white_check_mark:	:white_check_mark:	
Sons Of The Forest	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Soulmask	:white_check_mark:	:white_check_mark:	
Space Engineers	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Squad	:white_check_mark:	:white_check_mark:	
STAR WARS Jedi Knight - Jedi Academy	:white_check_mark:	:white_check_mark:	
Starbound	:white_check_mark:	:white_check_mark:	
Starmade	:white_check_mark:	:white_check_mark:	
Stationeers	:white_check_mark:	:white_check_mark:	
Staxel	:white_check_mark:	:white_check_mark:	
Stormworks	:white_check_mark:	:x:	
Subnautica (Legacy)	:white_check_mark:	:white_check_mark:	
Subsistence	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Sunkenland	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Sven Co-op	:white_check_mark:	:white_check_mark:	
Swords 'n Magic and Stuff	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Tarkov (Fika Mod)	:white_check_mark:	:white_check_mark:	
Team Fortress 2	:white_check_mark:	:white_check_mark:	32 bit and 64 bit versions. Includes Metamod and SourceMod support.
Team Fortress Classic	:white_check_mark:	:white_check_mark:	Includes Metamod and ReHLDS support.
TeamSpeak 3	:white_check_mark:	:white_check_mark:	
TeaSpeak	:x:	:white_check_mark:	
Teeworlds	:white_check_mark:	:white_check_mark:	
Terraria	:white_check_mark:	:white_check_mark:	
TerraTech Worlds	:white_check_mark:	:white_check_mark:	Linux support via Wine.
The Lord of the Rings: Return to Moria	:white_check_mark:	:white_check_mark:	Linux support via Wine.
TShock - Terraria Server	:white_check_mark:	:white_check_mark:	
The Forest	:white_check_mark:	:white_check_mark:	Linux support via Wine.
The Front	:white_check_mark:	:white_check_mark:	
The Isle (Legacy)	:white_check_mark:	:white_check_mark:	Linux support via Wine.
The Isle (EVRIMA)	:white_check_mark:	:white_check_mark:	
tModLoader (Legacy and 1.4+)	:white_check_mark:	:white_check_mark:	
Turbo Sliders Unlimited	:white_check_mark:	:white_check_mark:	
Unreal Tournament 2004	:white_check_mark:	:white_check_mark:	
Unreal Tournament 99	:white_check_mark:	:white_check_mark:	
Unturned	:white_check_mark:	:white_check_mark:	
V Rising	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Valheim	:white_check_mark:	:white_check_mark:	Linux support via Wine. Includes Valheim Plus and BepInEx options.
Veloren	:white_check_mark:	:white_check_mark:	
Vintage Story (Legacy and 1.18.8+)	:white_check_mark:	:white_check_mark:	
Windward	:white_check_mark:	:white_check_mark:	
Wolfenstein: Enemy Territory	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Wreckfest	:white_check_mark:	:white_check_mark:	Linux support via Wine.
Wurm Unlimited	:white_check_mark:	:white_check_mark:	
Xonotic	:white_check_mark:	:white_check_mark:	
